Model,DPO2024
Firmware Version,1.25

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,2e-05,
Sample Interval,2e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,50,
Label,,
TIME,CH1,CH1 Peak Detect
-9.83180e-05,-9,-9
-9.83160e-05,-9,-9
-9.83140e-05,-9,-9
-9.83120e-05,-9,-9
-9.83100e-05,-9,-9
-9.83080e-05,-7,-9
-9.83060e-05,-9,-7
-9.83040e-05,-9,-9
-9.83020e-05,-9,-7
-9.83000e-05,-9,-9
-9.82980e-05,-9,-7
-9.82960e-05,-9,-9
-9.82940e-05,-9,-7
-9.82920e-05,-9,-9
-9.82900e-05,-9,-7
-9.82880e-05,-9,-9
-9.82860e-05,-9,-9
-9.82840e-05,-9,-9
-9.82820e-05,-9,-7
-9.82800e-05,-9,-9
-9.82780e-05,-9,-7
-9.82760e-05,-9,-9
-9.82740e-05,-9,-7
-9.82720e-05,-9,-9
-9.82700e-05,-9,-7
-9.82680e-05,-9,-9
-9.82660e-05,-9,-9
-9.82640e-05,-9,-9
-9.82620e-05,-9,-7
-9.82600e-05,-9,-9
-9.82580e-05,-7,-7
-9.82560e-05,-9,-9
-9.82540e-05,-9,-9
-9.82520e-05,-9,-9
-9.82500e-05,-9,-7
-9.82480e-05,-9,-9
-9.82460e-05,-9,-7
-9.82440e-05,-9,-9
-9.82420e-05,-7,-7
-9.82400e-05,-9,-9
-9.82380e-05,-9,-7
-9.82360e-05,-9,-9
-9.82340e-05,-7,-7
-9.82320e-05,-9,-9
-9.82300e-05,-9,-7
-9.82280e-05,-9,-9
-9.82260e-05,-9,-7
-9.82240e-05,-9,-9
-9.82220e-05,-9,-9
-9.82200e-05,-7,-9
-9.82180e-05,-9,-7
-9.82160e-05,-9,-9
-9.82140e-05,-9,-9
-9.82120e-05,-9,-9
-9.82100e-05,-9,-9
-9.82080e-05,-9,-9
-9.82060e-05,-9,-9
-9.82040e-05,-9,-9
-9.82020e-05,-9,-9
-9.82000e-05,-9,-9
-9.81980e-05,-9,-9
-9.81960e-05,-7,-9
-9.81940e-05,-9,-7
-9.81920e-05,-9,-9
-9.81900e-05,-9,-7
-9.81880e-05,-9,-9
-9.81860e-05,-9,-9
-9.81840e-05,-9,-9
-9.81820e-05,-9,-9
-9.81800e-05,-9,-9
-9.81780e-05,-9,-9
-9.81760e-05,-9,-9
-9.81740e-05,-9,-7
-9.81720e-05,-9,-9
-9.81700e-05,-9,-9
